car_name,brand,model,avg_cost_price,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Hyundai Elantra,Hyundai,Elantra,20.95,8,90000.0,Individual,Diesel,Manual,22.7,1582.0,126.24,5.0,6.15
Mahindra Scorpio,Mahindra,Scorpio,17.309855,6,120000.0,Individual,Diesel,Manual,15.4,2179.0,120.0,7.0,9.0
Honda Amaze,Honda,Amaze,8.47,1,1800.0,Individual,Petrol,Manual,19.5,1199.0,88.76,5.0,7.2
Maruti Swift,Maruti,Swift,7.7467155,3,15000.0,Individual,Diesel,Manual,28.4,1248.0,74.0,5.0,6.75
Skoda Rapid,Skoda,Rapid,11.97,6,35000.0,Individual,Petrol,Automatic,14.3,1598.0,103.52,5.0,6.5
Toyota Innova,Toyota,Innova,24.86143,8,215000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,7.0,10.0
Maruti Baleno,Maruti,Baleno,8.675,4,23200.0,Dealer,Petrol,Manual,21.4,1197.0,83.1,5.0,6.1
Hyundai Grand,Hyundai,Grand,7.071195,5,60000.0,Individual,Diesel,Manual,24.0,1120.0,70.0,5.0,4.0
Toyota Innova,Toyota,Innova,24.86143,8,40000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,8.5
Volkswagen Polo,Volkswagen,Polo,9.03,6,60000.0,Individual,Petrol,Manual,16.47,1198.0,74.0,5.0,3.5
Mahindra Scorpio,Mahindra,Scorpio,17.51,13,120000.0,Individual,Diesel,Manual,10.5,2609.0,120.0,9.0,3.0
Mahindra Scorpio,Mahindra,Scorpio,17.795,9,147000.0,Individual,Diesel,Manual,14.0,2523.0,75.0,8.0,5.0
Renault Duster,Renault,Duster,14.168889,7,61251.0,Dealer,Diesel,Manual,20.45,1461.0,83.8,5.0,4.3
Ford Figo,Ford,Figo,7.02,5,60000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,4.2
Skoda Rapid,Skoda,Rapid,12.415,9,120000.0,Individual,Petrol,Automatic,14.3,1598.0,105.0,5.0,5.0
Maruti Wagon R,Maruti,Wagon R,6.24,3,50000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,4.0
Honda WR-V,Honda,WR-V,10.255,4,21000.0,Dealer,Petrol,Manual,17.5,1199.0,88.7,5.0,6.5
Maruti Swift,Maruti,Swift,7.7467155,13,70000.0,Individual,Diesel,Manual,17.8,1248.0,75.0,5.0,1.7
Honda City,Honda,City,14.74,6,50000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,6.5
Maruti Alto,Maruti,Alto,4.112027,2,12955.0,Individual,Petrol,Manual,23.95,998.0,67.1,5.0,3.75
Hyundai i10,Hyundai,i10,7.1382666,13,92000.0,Dealer,Petrol,Manual,19.81,1086.0,68.05,5.0,1.9
Ford Figo,Ford,Figo,8.955,9,80000.0,Individual,Diesel,Manual,20.0,1399.0,68.0,5.0,1.73
Skoda Rapid,Skoda,Rapid,12.280918,5,80000.0,Individual,Diesel,Manual,21.13,1498.0,108.6,5.0,6.5
Maruti Swift,Maruti,Swift,7.51,2,8043.0,Trustmark Dealer,Petrol,Automatic,22.0,1197.0,81.8,5.0,6.75
Honda Amaze,Honda,Amaze,8.47,5,35118.0,Dealer,Petrol,Manual,17.8,1198.0,86.7,5.0,4.75
Tata Safari,Tata,Safari,18.13,7,56000.0,Dealer,Petrol,Manual,12.0,2092.0,127.0,7.0,6.75
Maruti Celerio,Maruti,Celerio,5.975,2,10000.0,Individual,Petrol,Manual,23.1,998.0,67.04,5.0,4.8
Hyundai Creta,Hyundai,Creta,16.48,5,52000.0,Dealer,Diesel,Automatic,17.01,1582.0,126.2,5.0,10.5
Maruti Wagon R,Maruti,Wagon R,6.135,3,16631.0,Trustmark Dealer,Petrol,Manual,20.51,998.0,67.04,5.0,4.1
Hyundai i20,Hyundai,i20,10.810042,4,48000.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5.0,5.2
Skoda Rapid,Skoda,Rapid,12.135,8,50000.0,Individual,Petrol,Automatic,14.3,1598.0,103.6,5.0,2.39
Maruti Wagon R,Maruti,Wagon R,5.95,8,58000.0,Dealer,Petrol,Manual,18.9,998.0,67.1,5.0,2.48
Tata Safari,Tata,Safari,18.13,7,50000.0,Individual,Diesel,Manual,14.0,2179.0,138.1,7.0,8.0
Hyundai i10,Hyundai,i10,7.1382666,5,47000.0,Dealer,Petrol,Manual,20.36,1197.0,78.9,5.0,3.65
Honda Amaze,Honda,Amaze,8.435,4,58900.0,Individual,Petrol,Manual,17.8,1198.0,86.7,5.0,4.7
Hyundai Santro,Hyundai,Santro,6.475,2,30000.0,Individual,Petrol,Manual,20.3,1086.0,68.0,5.0,5.5
Maruti Wagon R,Maruti,Wagon R,5.95,11,147626.0,Individual,Petrol,Manual,18.9,1061.0,67.0,5.0,1.99
Hyundai i20,Hyundai,i20,11.415,7,67300.0,Dealer,Diesel,Manual,23.0,1396.0,90.0,5.0,3.68
Renault Duster,Renault,Duster,14.168889,9,100000.0,Individual,Diesel,Manual,19.01,1461.0,108.45,5.0,5.5
Hyundai Elantra,Hyundai,Elantra,23.57,6,65000.0,Dealer,Diesel,Automatic,19.5,1582.0,126.24,5.0,7.95
Maruti Swift,Maruti,Swift,7.7467155,11,160000.0,Individual,Diesel,Manual,17.8,1248.0,75.0,5.0,2.5
Maruti Alto,Maruti,Alto,4.112027,11,43000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,1.7
Hyundai i20,Hyundai,i20,10.72,4,44000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,5.5
Maruti Wagon R,Maruti,Wagon R,6.24,9,16000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,4.0
Skoda Rapid,Skoda,Rapid,12.280918,7,110000.0,Individual,Diesel,Manual,21.14,1498.0,103.52,5.0,5.5
Datsun GO,Datsun,GO,5.84,4,20000.0,Individual,Petrol,Manual,20.63,1198.0,67.06,5.0,3.0
Maruti Ciaz,Maruti,Ciaz,11.595719,4,63500.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,6.65
Maruti Ertiga,Maruti,Ertiga,10.457891,9,40000.0,Individual,Diesel,Manual,20.77,1248.0,88.8,7.0,6.5
Hyundai Grand,Hyundai,Grand,7.34,5,46000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,4.55
Maruti Swift,Maruti,Swift,7.81,7,70000.0,Individual,Petrol,Manual,18.6,1197.0,85.8,5.0,4.5
Hyundai Verna,Hyundai,Verna,14.583057,9,68812.0,Dealer,Diesel,Manual,22.32,1582.0,126.32,5.0,4.4
Hyundai Santro,Hyundai,Santro,5.835,2,5000.0,Individual,Petrol,Manual,20.3,1086.0,68.0,5.0,5.5
Maruti SwiftDzire,Maruti,SwiftDzire,8.285,8,110000.0,Individual,Petrol,Manual,19.1,1197.0,85.8,5.0,4.2
Renault Duster,Renault,Duster,14.168889,8,56000.0,Dealer,Diesel,Manual,19.01,1461.0,108.45,5.0,4.5
Renault Duster,Renault,Duster,14.168889,4,40000.0,Individual,Diesel,Automatic,19.6,1461.0,108.45,5.0,10.0
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,8,120000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,3.3
Ford Figo,Ford,Figo,9.07,7,57000.0,Individual,Diesel,Manual,20.0,1399.0,68.05,5.0,2.75
Mahindra Bolero,Mahindra,Bolero,9.87,11,120000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,2.55
Renault Duster,Renault,Duster,14.168889,8,61000.0,Dealer,Diesel,Manual,19.87,1461.0,83.8,5.0,4.5
Honda Amaze,Honda,Amaze,8.71,2,23000.0,Individual,Petrol,Manual,19.5,1199.0,88.76,5.0,6.51
Maruti Ertiga,Maruti,Ertiga,10.457891,5,52000.0,Dealer,Diesel,Manual,24.2,1498.0,93.87,7.0,6.75
Hyundai i20,Hyundai,i20,11.415,4,42000.0,Dealer,Diesel,Manual,23.0,1396.0,90.0,5.0,5.49
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,4,28860.0,Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,5.2
Maruti Wagon R,Maruti,Wagon R,6.24,5,26000.0,Dealer,Petrol,Manual,18.9,998.0,67.1,5.0,3.75
Maruti Alto,Maruti,Alto,4.112027,9,10000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.25
Maruti SwiftDzire,Maruti,SwiftDzire,8.69,10,70000.0,Individual,Petrol,Manual,17.5,1298.0,85.8,5.0,3.15
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,3,20000.0,Individual,Diesel,Manual,28.4,1248.0,74.02,5.0,6.5
Maruti Baleno,Maruti,Baleno,8.693568,6,63000.0,Dealer,Diesel,Manual,27.39,1248.0,74.0,5.0,5.1
Maruti Swift,Maruti,Swift,7.7467155,8,90145.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,3.5
Honda City,Honda,City,14.645,5,5000.0,Individual,Petrol,Manual,17.8,1497.0,117.3,5.0,9.0
Tata Nexon,Tata,Nexon,10.78,3,60000.0,Individual,Petrol,Manual,17.0,1198.0,108.5,5.0,7.0
Maruti Baleno,Maruti,Baleno,8.55,4,25000.0,Dealer,Petrol,Manual,21.4,1197.0,83.1,5.0,5.9
Honda City,Honda,City,14.74,12,59915.0,Dealer,Petrol,Manual,17.0,1497.0,118.0,5.0,2.95
Mahindra XUV500,Mahindra,XUV500,18.8,2,31000.0,Individual,Diesel,Manual,15.1,2179.0,152.87,7.0,14.5
Hyundai i20,Hyundai,i20,10.625,3,50000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.84
Hyundai i20,Hyundai,i20,10.810042,3,50000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,6.2
Maruti SwiftDzire,Maruti,SwiftDzire,8.465,6,120000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,3.5
Hyundai Grand,Hyundai,Grand,7.071195,8,32000.0,Dealer,Diesel,Manual,24.0,1120.0,70.0,5.0,3.65
Maruti Ertiga,Maruti,Ertiga,10.34,5,30000.0,Dealer,Petrol,Manual,17.5,1373.0,91.1,7.0,6.35
Toyota Innova,Toyota,Innova,24.86143,7,54800.0,Dealer,Diesel,Manual,12.99,2494.0,100.0,7.0,8.51
Maruti Swift,Maruti,Swift,7.715,8,13000.0,Individual,Petrol,Manual,18.6,1197.0,85.8,5.0,4.5
Ford Ecosport,Ford,Ecosport,11.965,7,60000.0,Dealer,Diesel,Manual,22.7,1498.0,89.84,5.0,4.6
Honda City,Honda,City,14.74,3,41000.0,Dealer,Petrol,Manual,17.4,1497.0,117.3,5.0,8.0
Hyundai i20,Hyundai,i20,11.17,5,55000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,5.4
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,6,80000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,4.8
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,7,60000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,4.5
Mahindra Scorpio,Mahindra,Scorpio,17.51,5,46000.0,Dealer,Diesel,Manual,15.4,1997.0,120.0,7.0,10.65
Renault Duster,Renault,Duster,14.168889,3,77000.0,Individual,Diesel,Manual,19.87,1461.0,83.8,5.0,7.3
Toyota Innova,Toyota,Innova,24.86143,6,60200.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,8.2
Renault KWID,Renault,KWID,5.05,4,30000.0,Individual,Petrol,Manual,25.17,799.0,53.3,5.0,3.0
Ford Ecosport,Ford,Ecosport,11.31,8,98813.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5.0,3.5
Maruti Alto,Maruti,Alto,3.905,5,120000.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,1.98
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,8,80000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,4.01
Ford Ecosport,Ford,Ecosport,10.76,5,27000.0,Dealer,Petrol,Manual,15.85,1499.0,110.4,5.0,6.3
Hyundai Verna,Hyundai,Verna,13.07,2,4000.0,Dealer,Petrol,Automatic,17.0,1591.0,121.3,5.0,12.5
Hyundai i20,Hyundai,i20,10.810042,7,60000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,4.0
Maruti Swift,Maruti,Swift,7.7467155,6,45000.0,Dealer,Diesel,Manual,22.9,1248.0,74.0,5.0,4.5
Volkswagen Vento,Volkswagen,Vento,13.294659,7,95000.0,Dealer,Diesel,Manual,20.34,1498.0,103.2,5.0,4.35
Maruti Swift,Maruti,Swift,7.715,6,30000.0,Individual,Petrol,Manual,20.4,1197.0,81.8,5.0,4.5
Maruti Vitara,Maruti,Vitara,10.815,4,79000.0,Individual,Diesel,Manual,24.3,1248.0,88.5,5.0,8.25
Hyundai Grand,Hyundai,Grand,6.525,6,50283.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,4.04
Honda City,Honda,City,14.74,11,80000.0,Individual,Petrol,Manual,17.0,1497.0,118.0,5.0,3.0
Hyundai i20,Hyundai,i20,10.475,7,110000.0,Individual,Petrol,Manual,18.5,1197.0,82.85,5.0,4.5
Toyota Innova,Toyota,Innova,24.86143,14,200000.0,Individual,Diesel,Manual,12.8,2494.0,102.0,7.0,5.0
Honda Jazz,Honda,Jazz,10.077314,6,65000.0,Dealer,Diesel,Manual,27.3,1498.0,98.6,5.0,4.5
Datsun GO,Datsun,GO,5.84,3,21500.0,Individual,Petrol,Manual,20.63,1198.0,67.0,5.0,4.3
Hyundai i20,Hyundai,i20,10.810042,10,52000.0,Dealer,Petrol,Manual,18.5,1197.0,80.0,5.0,2.6
Maruti Alto,Maruti,Alto,4.13,5,50000.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,2.35
Maruti Baleno,Maruti,Baleno,8.55,3,20000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,5.8
Volkswagen Vento,Volkswagen,Vento,13.294659,5,60000.0,Dealer,Diesel,Automatic,21.5,1498.0,108.5,5.0,6.4
Renault KWID,Renault,KWID,4.94,3,20000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,3.67
Datsun GO,Datsun,GO,6.53,4,24000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,4.25
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,3,60000.0,Individual,Diesel,Manual,28.4,1248.0,74.02,5.0,7.4
Tata Tiago,Tata,Tiago,6.773722,4,80000.0,Individual,Diesel,Manual,27.28,1047.0,69.0,5.0,4.0
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,8,45000.0,Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,3.9
Tata Tiago,Tata,Tiago,6.76,2,15000.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5.0,5.7
Hyundai Santro,Hyundai,Santro,6.195,2,4540.0,Dealer,Petrol,Automatic,20.3,1086.0,68.07,5.0,5.8
Tata Safari,Tata,Safari,18.13,6,50000.0,Individual,Diesel,Manual,14.0,2179.0,138.1,7.0,6.25
Hyundai Grand,Hyundai,Grand,7.11,3,41000.0,Individual,Petrol,Manual,18.9,1197.0,81.86,5.0,5.2
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,7,50900.0,Dealer,Diesel,Manual,19.3,1248.0,73.9,5.0,4.5
Maruti Swift,Maruti,Swift,7.7467155,4,55000.0,Dealer,Petrol,Manual,20.4,1197.0,83.11,5.0,4.5
Maruti Swift,Maruti,Swift,7.815,7,75727.0,Dealer,Petrol,Manual,21.21,1197.0,81.8,5.0,4.25
Maruti Baleno,Maruti,Baleno,8.33,3,20000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,6.8
Hyundai i20,Hyundai,i20,10.715,2,20000.0,Individual,Petrol,Manual,18.6,1197.0,81.86,5.0,6.25
Maruti Swift,Maruti,Swift,7.7467155,9,62000.0,Dealer,Diesel,Manual,22.9,1248.0,74.0,5.0,3.49
Maruti Alto,Maruti,Alto,4.112027,8,70000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.2
Honda City,Honda,City,14.305,11,49000.0,Dealer,Petrol,Manual,17.4,1497.0,117.6,5.0,3.6
Mahindra Scorpio,Mahindra,Scorpio,17.165,10,137000.0,Individual,Diesel,Automatic,11.79,2179.0,120.0,8.0,4.8
Maruti Baleno,Maruti,Baleno,8.475,2,5808.0,Trustmark Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,7.5
Maruti Baleno,Maruti,Baleno,8.675,4,8245.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,6.9
Honda Jazz,Honda,Jazz,10.077314,5,73000.0,Individual,Diesel,Manual,27.3,1498.0,98.6,5.0,7.2
Ford Ecosport,Ford,Ecosport,11.715,6,69997.0,Dealer,Diesel,Manual,23.0,1498.0,98.96,5.0,5.3
Maruti Vitara,Maruti,Vitara,10.815,2,35000.0,Individual,Diesel,Automatic,24.3,1248.0,88.5,5.0,9.4
Hyundai Santro,Hyundai,Santro,5.835,2,10000.0,Individual,Petrol,Manual,20.3,1086.0,68.0,5.0,5.0
Maruti Eeco,Maruti,Eeco,4.755,2,13000.0,Individual,Petrol,Manual,15.37,1196.0,73.0,5.0,3.4
Maruti Vitara,Maruti,Vitara,10.815,4,20000.0,Dealer,Diesel,Manual,24.3,1248.0,88.5,5.0,7.75
Maruti Swift,Maruti,Swift,7.7467155,6,68251.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,4.1
Hyundai Creta,Hyundai,Creta,16.085,4,36000.0,Dealer,Petrol,Automatic,13.0,1591.0,121.3,5.0,11.25
Toyota Innova,Toyota,Innova,24.86143,10,60000.0,Individual,Diesel,Manual,12.8,2494.0,102.0,8.0,6.0
Mahindra Scorpio,Mahindra,Scorpio,17.51,6,60000.0,Individual,Diesel,Manual,15.4,1997.0,120.0,7.0,10.5
Maruti Wagon R,Maruti,Wagon R,6.24,3,60000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,3.75
Honda Amaze,Honda,Amaze,8.47,4,28000.0,Dealer,Petrol,Manual,17.8,1198.0,86.7,5.0,5.0
Maruti Swift,Maruti,Swift,7.7467155,5,42000.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,4.85
Maruti Swift,Maruti,Swift,7.7467155,6,90000.0,Individual,Diesel,Manual,28.4,1248.0,74.0,5.0,4.2
Hyundai i20,Hyundai,i20,10.810042,4,35000.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5.0,6.0
Honda City,Honda,City,14.74,10,50000.0,Dealer,Petrol,Manual,17.0,1497.0,118.0,5.0,3.0
Volkswagen Polo,Volkswagen,Polo,9.283831,5,100000.0,Individual,Diesel,Manual,20.14,1498.0,88.0,5.0,6.3
Tata Safari,Tata,Safari,18.13,8,120000.0,Individual,Diesel,Manual,14.0,2179.0,138.1,7.0,6.0
Mahindra XUV500,Mahindra,XUV500,19.91,8,63000.0,Dealer,Diesel,Manual,15.1,2179.0,140.0,7.0,5.8
Maruti Alto,Maruti,Alto,4.112027,9,24943.0,Trustmark Dealer,Petrol,Manual,23.95,998.0,67.05,5.0,2.35
Mahindra Scorpio,Mahindra,Scorpio,17.51,3,48976.0,Dealer,Diesel,Manual,15.4,2523.0,75.0,7.0,10.11
Maruti Wagon R,Maruti,Wagon R,5.95,13,110000.0,Individual,Petrol,Manual,18.9,1061.0,67.0,5.0,1.25
Maruti Wagon R,Maruti,Wagon R,6.185586,3,25000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,4.0
Mahindra Scorpio,Mahindra,Scorpio,17.51,9,110000.0,Individual,Diesel,Manual,12.05,2179.0,120.0,9.0,6.0
Mahindra XUV500,Mahindra,XUV500,20.016186,6,55000.0,Dealer,Diesel,Manual,16.0,2179.0,140.0,7.0,9.25
Toyota Innova,Toyota,Innova,24.575,4,136226.0,Dealer,Diesel,Automatic,11.36,2755.0,171.5,7.0,14.25
Mahindra Thar,Mahindra,Thar,15.737182,8,49000.0,Dealer,Diesel,Manual,16.55,2498.0,105.0,6.0,4.75
Toyota Innova,Toyota,Innova,24.86143,12,250000.0,Individual,Diesel,Manual,12.8,2494.0,102.0,8.0,6.0
Maruti Vitara,Maruti,Vitara,10.815,4,24000.0,Dealer,Diesel,Manual,24.3,1248.0,88.5,5.0,7.85
Hyundai i20,Hyundai,i20,10.810042,4,7500.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5.0,6.6
Datsun GO,Datsun,GO,5.84,5,50000.0,Individual,Petrol,Manual,20.63,1198.0,67.0,5.0,2.35
Maruti Wagon R,Maruti,Wagon R,6.24,9,20000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,2.3
Hyundai Grand,Hyundai,Grand,7.071195,3,15000.0,Individual,Petrol,Manual,18.9,1197.0,81.86,5.0,6.0
Maruti Ciaz,Maruti,Ciaz,11.595719,2,15260.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,10.95
Renault Duster,Renault,Duster,14.168889,9,58000.0,Individual,Diesel,Manual,19.87,1461.0,83.8,5.0,5.0
Toyota Innova,Toyota,Innova,24.86143,7,60000.0,Dealer,Diesel,Manual,12.99,2494.0,100.6,7.0,7.75
Renault Triber,Renault,Triber,7.4,2,10000.0,Individual,Petrol,Manual,20.0,999.0,72.0,7.0,5.5
Maruti Alto,Maruti,Alto,3.99,7,35000.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,2.5
Maruti Ciaz,Maruti,Ciaz,11.595719,3,70000.0,Individual,Diesel,Manual,28.09,1248.0,88.5,5.0,7.25
Hyundai Santro,Hyundai,Santro,6.39939,11,60000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5.0,1.8
Ford Aspire,Ford,Aspire,7.785,5,20000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,5.25
Renault Duster,Renault,Duster,14.168889,5,55000.0,Individual,Diesel,Manual,19.87,1461.0,83.8,5.0,6.0
Honda City,Honda,City,14.905,8,42462.0,Dealer,Petrol,Manual,17.8,1498.0,119.35,5.0,4.8
Honda Amaze,Honda,Amaze,8.47,1,12000.0,Dealer,Petrol,Manual,18.6,1199.0,88.76,5.0,7.85
Honda City,Honda,City,14.305,7,70000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,5.6
Hyundai i20,Hyundai,i20,10.72,2,12973.0,Trustmark Dealer,Petrol,Manual,18.6,1197.0,81.86,5.0,6.9
Ford Ecosport,Ford,Ecosport,11.16,3,16000.0,Dealer,Petrol,Manual,17.0,1497.0,121.31,5.0,8.75
Maruti SwiftDzire,Maruti,SwiftDzire,8.39,9,55236.0,Dealer,Petrol,Manual,19.1,1197.0,85.8,5.0,3.5
Honda WR-V,Honda,WR-V,12.41,2,10000.0,Individual,Diesel,Manual,25.5,1498.0,98.6,5.0,9.75
Honda City,Honda,City,14.715,4,49000.0,Dealer,Petrol,Automatic,17.4,1497.0,117.6,5.0,9.7
Hyundai Grand,Hyundai,Grand,7.071195,8,91468.0,Dealer,Diesel,Manual,24.0,1120.0,70.0,5.0,2.8
Tata Tiago,Tata,Tiago,6.773722,3,68000.0,Individual,Diesel,Manual,27.28,1047.0,69.0,5.0,3.81
Hyundai i20,Hyundai,i20,10.810042,2,20000.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5.0,7.0
Mahindra Thar,Mahindra,Thar,15.835,8,45000.0,Dealer,Diesel,Manual,16.55,2498.0,105.0,7.0,5.45
Maruti Alto,Maruti,Alto,4.112027,17,80000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,0.77
Hyundai i10,Hyundai,i10,7.1382666,10,80000.0,Dealer,Petrol,Manual,20.36,1197.0,78.9,5.0,2.25
Maruti Swift,Maruti,Swift,7.92,5,80000.0,Individual,Petrol,Manual,20.4,1197.0,81.8,5.0,5.1
Mahindra Scorpio,Mahindra,Scorpio,17.51,6,35000.0,Individual,Diesel,Manual,15.4,1997.0,120.0,7.0,8.5
Maruti Vitara,Maruti,Vitara,10.815,5,63000.0,Dealer,Diesel,Manual,24.3,1248.0,88.5,5.0,7.35
Ford Aspire,Ford,Aspire,10.175,6,42000.0,Dealer,Diesel,Manual,25.83,1498.0,99.0,5.0,4.75
Hyundai Santro,Hyundai,Santro,6.39939,9,170000.0,Individual,CNG,Manual,11.88,1086.0,62.1,5.0,1.75
Honda Civic,Honda,Civic,23.295,14,60000.0,Individual,Petrol,Automatic,12.9,1799.0,130.0,5.0,3.2
Maruti Baleno,Maruti,Baleno,8.55,3,19000.0,Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,6.75
Tata Tiago,Tata,Tiago,6.773722,4,59000.0,Dealer,Diesel,Manual,27.28,1047.0,69.0,5.0,3.75
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,6,36000.0,Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,5.45
Maruti Celerio,Maruti,Celerio,5.97,2,50000.0,Individual,Petrol,Manual,21.63,998.0,67.0,5.0,5.0
Skoda Rapid,Skoda,Rapid,12.135,3,40000.0,Individual,Petrol,Automatic,14.84,1598.0,103.2,5.0,7.0
Maruti Celerio,Maruti,Celerio,5.8,7,110000.0,Individual,Petrol,Automatic,23.1,998.0,67.04,5.0,2.5
Maruti Alto,Maruti,Alto,4.112027,15,30000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,1.35
Maruti Ertiga,Maruti,Ertiga,10.34,6,72909.0,Dealer,Petrol,Manual,19.01,1462.0,103.26,7.0,5.25
Hyundai Creta,Hyundai,Creta,16.165,4,38425.0,Dealer,Diesel,Manual,19.67,1582.0,126.2,5.0,9.6
Hyundai i20,Hyundai,i20,10.33,3,50000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,7.0
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,4,74014.0,Dealer,Diesel,Manual,28.4,1248.0,74.02,5.0,6.69
Maruti Celerio,Maruti,Celerio,5.875,7,76000.0,Individual,Petrol,Manual,23.1,998.0,67.04,5.0,3.15
Hyundai Verna,Hyundai,Verna,14.583057,3,15000.0,Individual,Diesel,Manual,22.0,1582.0,126.2,5.0,12.4
Maruti Alto,Maruti,Alto,4.112027,6,35100.0,Dealer,Petrol,Manual,23.95,998.0,67.05,5.0,2.9
Hyundai Verna,Hyundai,Verna,15.465,13,120000.0,Individual,Diesel,Manual,16.8,1493.0,110.0,5.0,2.15
Maruti Vitara,Maruti,Vitara,10.815,3,60000.0,Individual,Diesel,Manual,24.3,1248.0,88.5,5.0,8.5
Hyundai Grand,Hyundai,Grand,6.985,4,22000.0,Individual,Petrol,Manual,18.9,1197.0,81.86,5.0,4.9
Ford Figo,Ford,Figo,9.185,8,145000.0,Individual,Diesel,Manual,20.0,1399.0,68.1,5.0,2.4
Maruti Swift,Maruti,Swift,7.7467155,8,70000.0,Individual,Diesel,Manual,22.9,1248.0,74.0,5.0,3.3
Maruti Alto,Maruti,Alto,4.112027,13,97000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,0.95
Maruti Ertiga,Maruti,Ertiga,10.34,7,22681.0,Dealer,Petrol,Manual,16.02,1373.0,93.7,7.0,5.25
Volkswagen Vento,Volkswagen,Vento,13.305,7,96000.0,Individual,Petrol,Manual,15.04,1598.0,103.2,5.0,3.9
Hyundai i20,Hyundai,i20,10.475,4,27000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.75
Maruti Swift,Maruti,Swift,7.7467155,8,72000.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,4.1
